03H,TLB,"Data TLB: 4 KByte pages, 4-way set associative, 64 entries"
04H,TLB,"Data TLB: 4 MByte pages, 4-way set associative, 8 entries"
5AH,TLB,"Data TLB0: 2 MByte or 4 MByte pages, 4-way set associative, 32 entries"
57H,TLB,"Data TLB0: 4 KByte pages, 4-way associative, 16 entries"
59H,TLB,"Data TLB0: 4 KByte pages, fully associative, 16 entries"
56H,TLB,"Data TLB0: 4 MByte pages, 4-way set associative, 16 entries"
B4H,TLB,"Data TLB1: 4 KByte pages, 4-way associative, 256 entries"
BAH,TLB,"Data TLB1: 4 KByte pages, 4-way associative, 64 entries"
05H,TLB,"Data TLB1: 4 MByte pages, 4-way set associative, 32 entries"
B1H,TLB,"Instruction TLB: 2M pages, 4-way, 8 entries or 4M pages, 4-way, 4 entries"
76H,TLB,"Instruction TLB: 2M/4M pages, fully associative, 8 entries "
55H,TLB,"Instruction TLB: 2-MByte or 4-MByte pages, fully associative, 7 entries"
51H,TLB,"Instruction TLB: 4 KByte and 2-MByte or 4-MByte pages, 128 entries"
52H,TLB,"Instruction TLB: 4 KByte and 2-MByte or 4-MByte pages, 256 entries"
50H,TLB,"Instruction TLB: 4 KByte and 2-MByte or 4-MByte pages, 64 entries"
4FH,TLB,"Instruction TLB: 4 KByte pages, 32 entries"
B0H,TLB,"Instruction TLB: 4 KByte pages, 4-way set associative, 128 entries"
01H,TLB,"Instruction TLB: 4 KByte pages, 4-way set associative, 32 entries"
61H,TLB,"Instruction TLB: 4 KByte pages, fully associative, 48 entries"
0BH,TLB,"Instruction TLB: 4 MByte pages, 4-way set associative, 4 entries"
02H,TLB,"Instruction TLB: 4 MByte pages, fully associative, 2 entries"
B2H,TLB,"Instruction TLB: 4KByte pages, 4-way set associative, 64 entries"
B6H,TLB,"Instruction TLB: 4KByte pages, 8-way set associative, 128 entries"
B5H,TLB,"Instruction TLB: 4KByte pages, 8-way set associative, 64 entries"
C4H,DTLB,"DTLB: 2M/4M Byte pages, 4-way associative, 32 entries"
C2H,DTLB,"DTLB: 4 KByte/2 MByte pages, 4-way associative, 16 entries"
A0H,DTLB,"DTLB: 4k pages, fully associative, 32 entries"
C3H,STLB,"Shared 2nd-Level TLB: 4 KByte /2 MByte pages, 6-way associative, 1536 entries. Also 1GBbyte pages, 4-way, 16 entries."
CAH,STLB,"Shared 2nd-Level TLB: 4 KByte pages, 4-way associative, 512 entries"
C1H,STLB,"Shared 2nd-Level TLB: 4 KByte/2MByte pages, 8-way associative, 1024 entries"
F1H,Prefetch,128-Byte prefetching
F0H,Prefetch,64-Byte prefetching
